I need the update query to sort properly the top  : see sample data for from the ==> rbd -->


sh-5.1$ rbd du -p "$POOL"                                                        
warning: fast-diff map is not enabled for csi-snap-25ae561d-8e68-488c-b5ad-1158f69daae2. operation may be slow.

NAME                                                                                         PROVISIONED  USED    
csi-vol-4ac6a4d1-832e-40d3-beb7-fd71a7bbe6d0                                                      10 GiB   128 MiB
csi-vol-4ae27158-cccb-4b9a-84b4-0e367cfa5ab8                                                       1 GiB  1016 MiB
csi-vol-4b1503c5-3025-4b0c-b02d-c2d1092ae1a0                                                     150 GiB   4.4 GiB
csi-vol-4b1aabeb-ddf0-458e-839b-550059ab94b0                                                     123 MiB    32 MiB
csi-vol-4b9fb174-560f-4d8c-8d4e-e7c0a5596fc0                                                       2 GiB   108 MiB
csi-vol-4c25ae53-16d9-47a6-acdd-c01100dff703                                                       1 GiB    28 MiB
csi-vol-4e12b668-3e06-437b-a74a-bf6d96a914bb                                                       1 GiB   116 MiB
csi-vol-4e151a4a-37ae-4aff-abc5-754a46942899                                                       8 GiB   280 MiB
csi-vol-4e3a2287-3204-11ee-ad5c-0a58af02020d                                                       1 GiB    52 MiB
csi-vol-4f0c48a4-c145-4d58-b695-edeb4aa8784f                                                       1 GiB    28 MiB
csi-vol-4f556e47-c23c-4c17-988e-47802ae5feff                                                       1 GiB   112 MiB
csi-vol-4ff8d571-b122-4399-bd6b-128563984f02                                                      10 GiB   200 MiB
csi-vol-50218dec-c225-444e-9d74-7947be95deb3                                                      50 GiB   3.7 GiB
csi-vol-50ae1a7b-2ecf-4251-9014-f37649236483                                                       1 GiB    28 MiB
csi-vol-51523c8f-c00b-45a6-9b22-be01cf4ad9a5                                                      10 GiB   208 MiB
csi-vol-52129a03-bff5-4bb1-ae71-408fd860d559                                                       1 GiB    28 MiB
csi-vol-52c34a4e-f725-48a5-bb39-7f4eb685ffb5                                                      10 GiB   192 MiB
csi-vol-52c3620e-3ce3-4cd3-96b2-e09c7585ccd0                                                     256 GiB    67 GiB
csi-vol-533c0a93-3d5c-4f2f-9e18-fe1611533f5a                                                      10 GiB   280 MiB
csi-vol-54681d47-2371-4b05-a6ac-4d15377369de                                                      10 GiB   7.9 GiB
csi-vol-54a35cba-a621-4d2d-afb2-882ff946de8d                                                      40 GiB   2.0 GiB
